Player,Runs
AB Agarkar,95
S Aravind,100
R Ashwin,123
P Awana,0
S Badrinath,43
L Balaji,0
STR Binny,35
JJ Bumrah,0
YS Chahal,0
PP Chawla,0
R Dhawan,1
S Dhawan,439
MS Dhoni,1212
AB Dinda,22
R Dravid,31
G Gambhir,932
Harbhajan Singh,108
RA Jadeja,116
KM Jadhav,95
Joginder Sharma,0
KD Karthik,148
M Kartik,0
Z Khan,13
V Kohli,1830
Kuldeep Yadav,0
DS Kulkarni,1
B Kumar,15
P Kumar,7
Mandeep Singh,87
A Mishra,0
Mohammed Shami,0
D Mongia,38
P Negi,0
A Nehra,28
NV Ojha,12
PP Ojha,10
MK Pandey,151
HH Pandya,100
RR Pant,43
Parvez Rasool,5
AR Patel,62
MM Patel,0
PA Patel,36
IK Pathan,172
YK Pathan,236
AM Rahane,375
KL Rahul,304
SK Raina,1307
AT Rayudu,42
SV Samson,19
Sandeep Sharma,1
V Sehwag,394
I Sharma,8
KV Sharma,0
MM Sharma,3
R Sharma,0
RG Sharma,1373
RP Singh,3
BB Sran,0
S Sreesanth,20
SR Tendulkar,10
MK Tiwary,15
S Tyagi,0
JD Unadkat,0
RV Uthappa,249
M Vijay,169
R Vinay Kumar,2
UT Yadav,0
Yuvraj Singh,1177
